resolution_minutes,purchase_amount,override,agent_id,status,buyer_id,purchase_id,has_photo,created_at,category,return_amount,reason,refund_request_id
67,830.46,no,agent_029,approved,buyer_0166,purchase_102104,yes,2026-06-05 08:22:00,appliances,485.72,,refund_req_302104
83,1260.52,no,agent_020,approved,buyer_0347,purchase_101871,yes,2026-05-24 12:30:00, home ,483.55,damaged_item,refund_req_301871
53,33.70,no,agent_007,approved,buyer_0541,purchase_100836,yes,2026-04-29 20:24:00,books,27.43,changed_mind,refund_req_300836
108,151.71,no,agent_017,declined,buyer_0299,purchase_101349,no,2026-04-11 17:40:00,sports,90.06,item_not_as_described,refund_req_301349
30,80.69,no,agent_029,approved,buyer_0348,purchase_101111,yes,2026-04-27 05:38:00,books,19.75,damaged_item,refund_req_301111
14,2132.94,yes,agent_102,approved,buyer_0343,purchase_104058,no,2026-05-24 10:21:00,electronics,2065.68,item_not_as_described,refund_req_304058
25,421.23,no,agent_004,approved,buyer_9001,purchase_104282,yes,2026-05-09 19:14:00,fashion,259.29,item_not_as_described,refund_req_304282
72,1105.34,no,agent_014,declined,buyer_0437,purchase_100583,no,2026-06-08 05:29:00,home,920.34, item_not_as_described ,refund_req_300583
9,2421.64,yes,agent_902,approved,buyer_9904,purchase_104887,no,2026-05-06 17:22:00,luxury,2444.96,item_not_as_described,refund_req_304887
43,152.47,no,agent_025,approved,buyer_9004,purchase_104309,yes,2026-05-21 07:33:00,clothing,143.73,changed_mind,refund_req_304309
37,1695.10,no,agent_101,approved,buyer_0241,purchase_103048,no,2026-06-11 13:51:00,APPLIANCES,1122.32,not_working,refund_req_303048
,1266.81,no,agent_702,approved,buyer_0569,purchase_104408,no,2026-04-21 11:18:00,home,965.92,missing_part,refund_req_304408
22,1062.73,no,agent_703,approved,buyer_0054,purchase_104358,,2026-05-23 17:33:00,books,658.06,damaged_item,refund_req_304358
5,2608.61,yes,agent_028,approved,buyer_0536,purchase_103921,no,2026-05-28 17:58:00,luxury,2271.86,changed_mind,refund_req_303921
91,1985.96,no,agent_021,declined,buyer_0369,purchase_102667,yes,2026-05-23 08:34:00,electronics,823.77, not_working ,refund_req_302667
6,632.77,no,agent_803,approved,buyer_8003,purchase_104644,no,2026-06-21 00:46:00,fashion,448.03,item_not_as_described,refund_req_304644
,2804.05,no,agent_103,approved,buyer_0594,purchase_103664,yes,2026-04-02 06:06:00,luxury,2391.90,,refund_req_303664
31,1650.63,no,agent_029,declined,buyer_0589,purchase_100362,no,2026-04-08 01:56:00,  luxury  ,1386.29,item_not_as_described,refund_req_300362
96,2212.02,no,agent_005, approved ,buyer_0334,purchase_100619,no,2026-05-07 06:02:00,luxury,1339.01,changed_mind,refund_req_300619
58,1136.83,no,agent_008,approved,buyer_0041,purchase_102558,yes,2026-06-07 10:23:00,clothing,452.98,,refund_req_302558
90,106.36,no,agent_024,approved,buyer_0449,purchase_101963,,2026-05-29 04:58:00,beauty,82.88,allergic_reaction,refund_req_301963
,1594.92,yes,agent_902,approved,buyer_9906,purchase_104763,no,2026-05-03 16:44:00,electronics,1500.27,damaged_item,refund_req_304763
14,1960.27,yes,agent_006,approved,buyer_0138,purchase_104008,no,2026-04-25 08:31:00,luxury,1836.75,item_not_as_described,refund_req_304008
50,97.86,no,agent_030,approved,buyer_9007,purchase_104224,no,2026-06-18 12:42:00,beauty,91.74,allergic_reaction,refund_req_304224
82,444.64,no,agent_027,approved,buyer_0338,purchase_100878,yes,2026-04-05 19:48:00,fashion,342.76,item_not_as_described,refund_req_300878
65,369.45,no,agent_020,approved,buyer_0041,purchase_101027,yes,2026-05-09 13:34:00,fashion,303.14,wrong_size,refund_req_301027
74,1227.42,no,agent_007,approved,buyer_0538,purchase_101938,yes,2026-06-05 10:15:00,books,935.52,,refund_req_301938
51,100.96,no,agent_030,Approved,buyer_0141,purchase_100886,,2026-04-05 16:01:00,beauty,40.20,changed_mind,refund_req_300886
38,373.10,no,agent_030,approved,buyer_0592,purchase_101255,,2026-05-10 22:20:00,fashion,294.42,changed_mind,refund_req_301255
28,932.65,no,agent_028,approved,buyer_0170,purchase_103159,no,2026-04-10 14:53:00,appliances,766.14,missing_part,refund_req_303159
34,1308.70,no,agent_028,approved,buyer_0529,purchase_100604,yes,2026-05-14 18:44:00,luxury,287.06,  damaged_item  ,refund_req_300604
51,560.29,no,agent_011,approved,buyer_0044,purchase_100483,no,2026-04-10 09:15:00,electronics,350.18,damaged_item,refund_req_300483
64,121.75,no,agent_018,approved,buyer_0073,purchase_100324,yes,2026-04-17 02:15:00,sports,44.82,damaged_item,refund_req_300324
68,306.47,yes,agent_025,approved,buyer_0464,purchase_100631,no,2026-04-19 06:03:00,sports,125.37,  damaged_item  ,refund_req_300631
63,1854.50,no,agent_018,approved,buyer_0054,purchase_103448,no,2026-06-13 13:55:00,luxury,1854.50,item_not_as_described,refund_req_303448
62,1600.48,no,agent_028,  approved  ,buyer_0479,purchase_101818,no,2026-04-13 01:43:00,appliances,1105.55,not_working,refund_req_301818
25,1950.22,no,agent_802,approved,buyer_8002,purchase_104625,no,2026-04-15 18:04:00,  electronics  ,1934.52,not_working,refund_req_304625
76,1133.82,no,agent_013,approved,buyer_0224,purchase_101966,yes,2026-06-14 13:23:00,home,779.82,item_not_as_described,refund_req_301966
38,1123.70,no,agent_007,approved,buyer_0013,purchase_103507,no,2026-06-06 15:00:00,appliances,1123.70, missing_part ,refund_req_303507
,381.07,no,agent_011,approved,buyer_0075,purchase_102363,,2026-05-16 19:04:00,electronics,279.70,item_not_as_described,refund_req_302363
53,676.73,no,agent_005,  declined  ,buyer_0255,purchase_100768,no,2026-06-09 19:33:00,electronics,548.21,not_working,refund_req_300768
66,119.28,no,agent_026,declined,buyer_0266,purchase_102393,yes,2026-05-01 23:46:00,home,65.47,damaged_item,refund_req_302393
47,763.95,no,agent_022,declined,buyer_0423,purchase_102559,yes,2026-06-05 13:15:00,appliances,246.27,missing_part,refund_req_302559
8,914.10,yes,agent_901,approved,buyer_9901,purchase_104902,no,2026-05-18 21:50:00,electronics,824.93,,refund_req_304902
3,235.00,no,agent_103,approved,buyer_0105,purchase_103579,yes,2026-05-03 07:29:00,clothing,171.57,  item_not_as_described  ,refund_req_303579
25,1482.90,no,agent_801,approved,buyer_8001,purchase_104573,no,2026-04-30 04:55:00,electronics,1031.68,item_not_as_described,refund_req_304573
35,117.00,no,agent_029,approved,buyer_0558,purchase_100607,no,2026-05-09 10:52:00,beauty,57.03, changed_mind ,refund_req_300607
28,207.08,no,agent_025,approved,buyer_0108,purchase_100675,yes,2026-05-30 21:00:00,clothing,96.62,wrong_size,refund_req_300675
82,211.55,no,agent_013,declined,buyer_0160,purchase_102286,no,2026-05-02 20:02:00,clothing,121.83,  item_not_as_described  ,refund_req_302286
2,2185.34,no,agent_102,approved,buyer_0328,purchase_103653,yes,2026-06-20 23:00:00,electronics,1180.41,item_not_as_described,refund_req_303653
31,1647.98,yes,agent_010,approved,buyer_0595,purchase_103806,no,2026-04-16 08:16:00,luxury,1580.37,damaged_item,refund_req_303806
4,1595.09,yes,agent_901,approved,buyer_9902,purchase_104886,no,2026-04-16 01:22:00,appliances,1379.40,missing_part,refund_req_304886
66,1516.01,no,agent_016,declined,buyer_0274,purchase_102266,no,2026-05-22 07:46:00,appliances,700.22,not_working,refund_req_302266
31,1392.85,no,agent_701,approved,buyer_0492,purchase_104554,no,2026-05-08 12:48:00,luxury,1263.35,changed_mind,refund_req_304554
40,1243.16,no,agent_002,approved,buyer_0031,purchase_103033,no,2026-05-23 06:43:00,luxury,1137.99,damaged_item,refund_req_303033
21,1495.88,yes,agent_030,approved,buyer_0221,purchase_104056,yes,2026-04-02 02:50:00,electronics,1461.29,item_not_as_described,refund_req_304056
22,181.44,no,agent_702,approved,buyer_0107,purchase_104552,yes,2026-04-24 16:18:00,electronics,91.67,item_not_as_described,refund_req_304552
,915.96,no,agent_016,approved,buyer_0120,purchase_100358,no,2026-06-07 02:17:00,electronics,652.74,missing_accessory,refund_req_300358
101,2917.08,no,agent_005,approved,buyer_0195,purchase_100012,no,2026-06-05 02:07:00,luxury,1681.60,item_not_as_described,refund_req_300012
79,803.15,no,agent_016,  approved  ,buyer_0020,purchase_100888,yes,2026-04-06 02:29:00,appliances,183.82,damaged_item,refund_req_300888
110,1344.83,no,agent_020,approved,buyer_0506,purchase_100429,yes,2026-05-07 05:09:00,electronics,684.80,not_working,refund_req_300429
45,907.41,no,agent_007,approved,buyer_9006,purchase_104183,no,2026-06-16 09:23:00,clothing,685.82,item_not_as_described,refund_req_304183
71,461.83,no,agent_014,approved,buyer_0317,purchase_102629,yes,2026-06-05 20:11:00,home,324.58,item_not_as_described,refund_req_302629
98,2086.63,no,agent_023,approved,buyer_0233,purchase_101744,no,2026-04-20 12:25:00,electronics,560.80,,refund_req_301744
107,1289.45,no,agent_023,approved,buyer_0360,purchase_101168,no,2026-04-12 10:49:00, appliances ,1091.54,not_working,refund_req_301168
63,1770.20,no,agent_010,approved,buyer_0440,purchase_100930,no,2026-04-04 00:57:00,appliances,999.54,missing_part,refund_req_300930
18,386.56,no,agent_803,  approved  ,buyer_8003,purchase_104713,no,2026-05-29 18:45:00,fashion,342.03,item_not_as_described,refund_req_304713
75,62.09,no,agent_015,Approved,buyer_0049,purchase_102875,yes,2026-05-26 02:05:00,books,21.46,wrong_item_received,refund_req_302875
37,1095.29,no,agent_022,APPROVED,buyer_9007,purchase_104304,yes,2026-05-08 21:10:00,appliances,830.94,damaged_item,refund_req_304304
,166.42,no,agent_017,approved,buyer_0482,purchase_102934,yes,2026-06-14 03:58:00,fashion,61.22,wrong_size,refund_req_302934
79,83.90,no,agent_001,approved,buyer_0590,purchase_102046,yes,2026-06-19 10:02:00,  home  ,54.97,missing_part,refund_req_302046
6,1790.86,yes,agent_902,approved,buyer_9906,purchase_104921,no,2026-06-16 23:50:00,luxury,1643.09,damaged_item,refund_req_304921
3,341.05,no,agent_101,approved,buyer_0077,purchase_103578,yes,2026-04-03 17:00:00,sports,253.41,item_not_as_described,refund_req_303578
25,1963.47,no,agent_802,approved,buyer_8002,purchase_104754,no,2026-06-11 09:02:00,electronics,1760.87,missing_accessory,refund_req_304754
,130.28,no,agent_102,approved,buyer_0210,purchase_103746,,2026-05-26 19:07:00,beauty,71.39,changed_mind,refund_req_303746
63,96.58,no,agent_019,declined,buyer_0269,purchase_101125,yes,2026-06-09 14:29:00,clothing,41.80,changed_mind,refund_req_301125
17,1650.11,yes,agent_006,approved,buyer_0598,purchase_103940,,2026-06-02 02:03:00,appliances,1084.54,missing_part,refund_req_303940
74,1144.42,no,agent_020,declined,buyer_0579,purchase_101811,no,2026-05-05 10:39:00,luxury,364.83,item_not_as_described,refund_req_301811
57,1158.43,no,agent_103, approved ,buyer_0027,purchase_103492,no,2026-04-07 21:26:00,fashion,1158.43,item_not_as_described,refund_req_303492
32,927.82,no,agent_027,approved,buyer_0399,purchase_103051,no,2026-06-17 05:23:00,luxury,693.31,item_not_as_described,refund_req_303051
5,2433.66,yes,agent_901,approved,buyer_9901,purchase_104880,no,2026-05-13 09:30:00,luxury,2144.93,item_not_as_described,refund_req_304880
63,1855.15,yes,agent_018,approved,buyer_0374,purchase_103298,yes,2026-05-08 07:46:00,luxury,1855.15,damaged_item,refund_req_303298
5,71.99,no,agent_101,approved,buyer_0165,purchase_103557,no,2026-06-21 07:44:00,books,60.68,damaged_item,refund_req_303557
98,185.83,no,agent_013,approved,buyer_0279,purchase_100760,yes,2026-05-04 18:21:00,Appliances,106.25,,refund_req_300760
34,1360.01,no,agent_004,approved,buyer_0408,purchase_103079,,2026-04-10 10:21:00,appliances,883.00,not_working,refund_req_303079
43,169.82,no,agent_019,approved,buyer_0087,purchase_101973,yes,2026-06-03 02:43:00,beauty,61.58,,refund_req_301973
12,1640.50,no,agent_009,approved,buyer_0130,purchase_103505,yes,2026-06-12 00:31:00,appliances,1640.50,not_working,refund_req_303505
23,943.85,no,agent_028,approved,buyer_0332,purchase_103480,yes,2026-06-01 06:17:00,electronics,943.85,,refund_req_303480
30,913.92,yes,agent_026,approved,buyer_0442,purchase_103864,no,2026-04-10 06:31:00,luxury,603.22,changed_mind,refund_req_303864
82,153.35,no,agent_004,approved,buyer_0165,purchase_102438,yes,2026-05-21 16:30:00,clothing,103.46,wrong_size,refund_req_302438
,1029.90,no,agent_017,approved,buyer_0240,purchase_103479,no,2026-06-14 18:44:00,fashion,1029.90,wrong_size,refund_req_303479
,1471.55,no,agent_030,approved,buyer_0493,purchase_102355,,2026-05-26 13:34:00,appliances,373.15,not_working,refund_req_302355
34,1329.67,no,agent_011,  approved  ,buyer_0140,purchase_103149,no,2026-04-17 18:47:00,electronics,1254.35,damaged_item,refund_req_303149
17,1404.12,no,agent_017,approved,buyer_0362,purchase_103071,,2026-05-13 10:35:00,appliances,1210.80,missing_part,refund_req_303071
81,396.17,no,agent_027,approved,buyer_0461,purchase_100988,no,2026-04-13 21:05:00,sports,182.25,damaged_item,refund_req_300988
50,1688.83,no,agent_025,approved,buyer_0324,purchase_102787,yes,2026-04-26 16:07:00,electronics,546.73,damaged_item,refund_req_302787
28,1042.89,yes,agent_103,approved,buyer_0365,purchase_102985,no,2026-05-14 03:46:00,appliances,874.77,missing_part,refund_req_302985
10,1154.67,no,agent_702,approved,buyer_0344,purchase_104549,no,2026-05-06 15:44:00,home,1055.87,,refund_req_304549
24,392.36,no,agent_802,approved,buyer_8002,purchase_104634,no,2026-04-16 00:28:00,fashion,265.46,wrong_size,refund_req_304634
54,26.88,no,agent_027, approved ,buyer_0149,purchase_101750,yes,2026-04-21 17:37:00,sports,21.59,item_not_as_described,refund_req_301750
62,9.17,no,agent_008,approved,buyer_9003,purchase_104204,yes,2026-05-20 10:33:00,books,4.85,wrong_item_received,refund_req_304204
49,1913.25,no,agent_025,approved,buyer_0196,purchase_100123,yes,2026-05-27 21:11:00,electronics,442.10,missing_accessory,refund_req_300123
23,1189.58,no,agent_027,approved,buyer_9005,purchase_104262,yes,2026-04-27 06:28:00,home,812.74,item_not_as_described,refund_req_304262
11,997.79,no,agent_703,approved,buyer_0376,purchase_104511,no,2026-05-26 14:43:00,beauty,852.77,allergic_reaction,refund_req_304511
65,1708.62,yes,agent_027,approved,buyer_0158,purchase_103407,yes,2026-05-15 15:28:00,luxury,1708.62,changed_mind,refund_req_303407
42,118.67,no,agent_028,declined,buyer_0378,purchase_101263,no,2026-04-27 21:17:00,clothing,74.61,wrong_size,refund_req_301263
,1724.72,no,agent_020,approved,buyer_0297,purchase_101130,yes,2026-06-20 18:36:00,luxury,899.01,changed_mind,refund_req_301130
23,1189.49,no,agent_015,approved,buyer_0345,purchase_103069,no,2026-05-31 23:28:00,appliances,869.19,not_working,refund_req_303069
43,2633.18,no,agent_103,approved,buyer_0460,purchase_103444,,2026-06-18 13:51:00,luxury,2633.18,  damaged_item  ,refund_req_303444
29,994.32,no,agent_028,approved,buyer_0281,purchase_101016,no,2026-05-21 07:28:00,luxury,409.23,changed_mind,refund_req_301016
21,1167.70,yes,agent_005,approved,buyer_0064,purchase_103904,no,2026-05-23 23:31:00,luxury,1028.37,item_not_as_described,refund_req_303904
39,163.95,no,agent_008,approved,buyer_9002,purchase_104187,no,2026-05-04 14:41:00,beauty,99.29,allergic_reaction,refund_req_304187
31,601.06,no,agent_002,  approved  ,buyer_900,purchase_1027,no,2026-06-07 09:17:00,fashion,430.70,changed_mind,refund_req_3027
,777.90,no,agent_011,approved,buyer_0174,purchase_100792,yes,2026-05-05 00:09:00,luxury,297.22,item_not_as_described,refund_req_300792
65,63.47,no,agent_025,approved,buyer_0353,purchase_102162,yes,2026-04-23 00:28:00,clothing,51.97,item_not_as_described,refund_req_302162
16,924.34,no,agent_102,  approved  ,buyer_0412,purchase_103518,no,2026-06-13 10:21:00,fashion,924.34,,refund_req_303518
,66.08,yes,agent_701,approved,buyer_0486,purchase_104425,yes,2026-06-17 06:39:00,clothing,34.11,wrong_size,refund_req_304425
69,45.94,no,agent_025,approved,buyer_0168,purchase_100040,yes,2026-04-26 10:35:00,clothing,9.95,changed_mind,refund_req_300040
35,1402.99,no,agent_024, declined ,buyer_0463,purchase_102316,no,2026-05-10 02:31:00,APPLIANCES,736.45,damaged_item,refund_req_302316
34,710.96,no,agent_001,declined,buyer_0027,purchase_101253,no,2026-05-17 11:52:00,appliances,471.13,missing_part,refund_req_301253
1,77.41,no,agent_102,approved,buyer_0413,purchase_103587,yes,2026-05-05 16:31:00,books,61.68,wrong_item_received,refund_req_303587
39,1018.61,no,agent_027,approved,buyer_0460,purchase_103164,no,2026-04-11 04:14:00,luxury,767.22,,refund_req_303164
43,340.72,yes,agent_006,approved,buyer_0093,purchase_102037,,2026-05-23 23:50:00,appliances,133.59,not_working,refund_req_302037
54,110.75,no,agent_014,declined,buyer_0076,purchase_101525,yes,2026-04-16 08:59:00,clothing,65.93,item_not_as_described,refund_req_301525
84,13.82,no,agent_027,approved,buyer_0598,purchase_101862,yes,2026-04-24 18:01:00,books,4.55,wrong_item_received,refund_req_301862
69,1010.46,no,agent_015,approved,buyer_0394,purchase_100644,no,2026-06-15 14:34:00,electronics,609.45,not_working,refund_req_300644
30,2073.65,no,agent_028,approved,buyer_0490,purchase_103523,yes,2026-04-08 22:29:00,luxury,2073.65,item_not_as_described,refund_req_303523
82,216.65,no,agent_006,approved,buyer_0506,purchase_102557,yes,2026-04-28 01:09:00,clothing,59.66,wrong_size,refund_req_302557
96,30.04,no,agent_028,declined,buyer_0087,purchase_101900,yes,2026-06-18 05:14:00,books,12.69,damaged_item,refund_req_301900
7,1314.06,yes,agent_017,approved,buyer_0563,purchase_103885,yes,2026-05-29 18:50:00,appliances,1152.73,damaged_item,refund_req_303885
38,701.98,no,agent_024, approved ,buyer_0378,purchase_101332,yes,2026-05-28 12:46:00,  electronics  ,148.07,missing_accessory,refund_req_301332
71,464.48,no,agent_019,approved,buyer_0539,purchase_102529,no,2026-04-05 19:12:00,appliances,244.31,missing_part,refund_req_302529
45,1065.52,no,agent_028,declined,buyer_0395,purchase_100191,no,2026-05-19 13:47:00,books,752.75,wrong_item_received,refund_req_300191
62,52.04,no,agent_021,approved,buyer_0564,purchase_102804,yes,2026-04-05 10:44:00,books,23.02,wrong_item_received,refund_req_302804
83,578.49,no,agent_020,declined,buyer_0395,purchase_101624,no,2026-04-16 05:32:00,fashion,192.35,item_not_as_described,refund_req_301624
44,2511.27,no,agent_019,declined,buyer_0234,purchase_102892,no,2026-06-14 11:26:00,luxury,1420.39,damaged_item,refund_req_302892
78,314.61,no,agent_028,approved,buyer_0245,purchase_100843,yes,2026-05-13 08:42:00,sports,97.00,wrong_size,refund_req_300843
115,2030.23,no,agent_016,approved,buyer_0043,purchase_101795,yes,2026-06-16 03:03:00,luxury,1500.71,item_not_as_described,refund_req_301795
101,188.51,no,agent_020,Approved,buyer_0600,purchase_102412,yes,2026-05-29 16:02:00,sports,87.23,item_not_as_described,refund_req_302412
1,32.78,no,agent_103,approved,buyer_0231,purchase_103582,yes,2026-04-10 06:40:00,books,22.87,wrong_item_received,refund_req_303582
,533.42,no,agent_801,  approved  ,buyer_8001,purchase_104753,yes,2026-04-06 19:52:00,electronics,523.68,damaged_item,refund_req_304753
98,580.42,no,agent_016,approved,buyer_0038,purchase_100066,no,2026-04-02 12:55:00,home,241.34,,refund_req_300066
45,56.28,no,agent_102,approved,buyer_900,purchase_1030,,2026-06-10 09:52:00,books,35.61,damaged_item,refund_req_3030
76,160.61,no,agent_001,approved,buyer_0082,purchase_101121,no,2026-04-10 14:25:00,fashion,47.14,item_not_as_described,refund_req_301121
37,1101.41,no,agent_103,approved,buyer_0371,purchase_103144,no,2026-04-14 03:46:00,appliances,1006.18,,refund_req_303144
59,1615.27,no,agent_018,approved,buyer_0343,purchase_100608,yes,2026-06-06 19:37:00,electronics,1246.86,damaged_item,refund_req_300608
90,66.05,no,agent_027,approved,buyer_0215,purchase_101165,yes,2026-04-10 10:17:00,sports,48.18,wrong_size,refund_req_301165
61,45.78,no,agent_029,approved,buyer_0485,purchase_102503,no,2026-05-25 18:58:00,books,29.77,changed_mind,refund_req_302503
24,1166.95,yes,agent_702,approved,buyer_0469,purchase_104369,no,2026-06-17 22:26:00,fashion,994.75,wrong_size,refund_req_304369
69,1263.30,no,agent_028,approved,buyer_0563,purchase_100329,yes,2026-04-18 06:54:00,electronics,491.33,item_not_as_described,refund_req_300329
56,1206.21,no,agent_013,approved,buyer_0406,purchase_101145,yes,2026-06-15 09:13:00,books,627.17,changed_mind,refund_req_301145
