return_id,scenario_id,scenario,expected_risk_level,expected_reason_types
return_3024,5,manual_override_high_value,HIGH,HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE
return_3025,5,manual_override_high_value,CRITICAL,AGENT_HIGH_APPROVAL_RATE;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE
return_3026,6,frequent_customer,HIGH,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;SUSPICIOUS_CLUSTER
return_3027,6,frequent_customer,CRITICAL,CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;NO_EVIDENCE;SUSPICIOUS_CLUSTER
return_3028,6,frequent_customer,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND;SUSPICIOUS_CLUSTER
return_3029,6,frequent_customer,HIGH,CUSTOMER_FREQUENT_RETURNS;MANUAL_OVERRIDE;SUSPICIOUS_CLUSTER
return_3030,6,frequent_customer,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;NO_EVIDENCE;SUSPICIOUS_CLUSTER
return_3031,7,high_approval_agent,CRITICAL,AGENT_HIGH_APPROVAL_RATE;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE
return_3032,7,high_approval_agent,HIGH,AGENT_HIGH_APPROVAL_RATE;FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND
return_3033,7,high_approval_agent,MEDIUM,AGENT_HIGH_APPROVAL_RATE;NO_EVIDENCE
return_3034,7,high_approval_agent,MEDIUM,AGENT_HIGH_APPROVAL_RATE;HIGH_VALUE_REFUND
return_3035,7,high_approval_agent,LOW,AGENT_HIGH_APPROVAL_RATE
return_3036,8,repeated_agent_customer_pair,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3037,8,repeated_agent_customer_pair,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3038,8,repeated_agent_customer_pair,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3039,8,repeated_agent_customer_pair,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;MANUAL_OVERRIDE;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3040,8,repeated_agent_customer_pair,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3041,9,suspicious_cluster,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3042,9,suspicious_cluster,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3043,9,suspicious_cluster,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3044,9,suspicious_cluster,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
return_3045,9,suspicious_cluster,CRITICAL,AGENT_HIGH_APPROVAL_RATE;CUSTOMER_FREQUENT_RETURNS;FAST_APPROVAL;HIGH_VALUE_REFUND;MANUAL_OVERRIDE;NO_EVIDENCE;REPEATED_AGENT_CUSTOMER_PAIR;SUSPICIOUS_CLUSTER
