order_id,customer_id,return_id,support_agent_id,order_amount,refund_amount,product_category,return_reason,evidence_provided,decision,manual_override,decision_time_minutes,timestamp
order_1027,customer_900,return_3027,agent_002,601.06,430.7,fashion,changed_mind,False,APPROVED,False,31,2026-06-07T09:17:00Z
order_1028,customer_900,return_3028,agent_003,131.37,125.29,fashion,item_not_as_described,True,APPROVED,False,37,2026-06-08T09:27:00Z
order_1029,customer_900,return_3029,agent_004,307.12,209.57,electronics,missing_accessory,True,APPROVED,True,65,2026-06-09T09:42:00Z
order_1030,customer_900,return_3030,agent_102,56.28,35.61,books,damaged_item,False,APPROVED,False,45,2026-06-10T09:52:00Z
order_1031,customer_700,return_3031,agent_777,1065.95,881.61,appliances,damaged_item,False,APPROVED,True,22,2026-06-11T09:03:00Z
order_1032,customer_701,return_3032,agent_777,16.66,16.26,books,damaged_item,True,APPROVED,False,31,2026-06-11T09:23:00Z
order_1033,customer_702,return_3033,agent_777,854.18,492.36,home,damaged_item,False,APPROVED,False,13,2026-06-11T09:37:00Z
order_1034,customer_703,return_3034,agent_777,1373.6,1141.21,electronics,item_not_as_described,True,APPROVED,False,35,2026-06-11T10:02:00Z
order_1035,customer_704,return_3035,agent_777,282.07,135.4,sports,wrong_size,True,APPROVED,False,5,2026-06-11T10:13:00Z
order_1036,customer_888,return_3036,agent_888,665.92,607.0,sports,item_not_as_described,False,APPROVED,False,27,2026-06-12T09:06:00Z
order_1037,customer_888,return_3037,agent_888,1773.38,1161.28,electronics,item_not_as_described,False,APPROVED,False,10,2026-06-13T09:16:00Z
order_1038,customer_888,return_3038,agent_888,1331.41,1158.5,electronics,not_working,True,APPROVED,False,4,2026-06-14T09:21:00Z
order_1039,customer_888,return_3039,agent_888,1364.69,875.48,electronics,not_working,False,APPROVED,True,16,2026-06-15T09:32:00Z
order_1040,customer_888,return_3040,agent_888,430.66,428.9,sports,item_not_as_described,False,APPROVED,False,24,2026-06-16T09:43:00Z
order_1041,customer_999,return_3041,agent_999,1168.27,1019.25,electronics,item_not_as_described,False,APPROVED,True,4,2026-06-17T09:01:00Z
order_1042,customer_999,return_3042,agent_999,1182.59,968.11,luxury,item_not_as_described,False,APPROVED,True,5,2026-06-18T09:10:00Z
order_1043,customer_999,return_3043,agent_999,872.0,777.01,appliances,not_working,False,APPROVED,True,5,2026-06-19T09:19:00Z
order_1044,customer_999,return_3044,agent_999,916.25,831.78,appliances,missing_part,False,APPROVED,True,8,2026-06-20T09:28:00Z
order_1045,customer_999,return_3045,agent_999,1099.08,996.79,appliances,not_working,False,APPROVED,True,2,2026-06-21T09:37:00Z
