order_amount,agent_id,customer_id,override,decision_time_minutes,order_id,created_at,category,evidence,return_id,return_amount,decision,reason
"60,19",agent_101,buyer_0233,1,4,purchase_103701,25.04.2026 11:15,books,0,refund_req_303701,"58,45",approve,changed_mind
"249,68",agent_026,buyer_0326,0,,purchase_100318,15.05.2026 15:33, clothing ,1,refund_req_300318,"134,43",reject,item_not_as_described
"451,15",agent_023,buyer_0238,0,89,purchase_100354,17.05.2026 06:51,fashion,0,refund_req_300354,"195,72",approve,
"1.711,91",agent_027,buyer_0347,0,33,purchase_103027,04.04.2026 11:17,appliances,0,refund_req_303027,"1.377,34",approve,not_working
"297,15",agent_101,buyer_0570,0,5,purchase_103651,24.04.2026 05:55,sports,0,refund_req_303651,"227,50",approve,wrong_size
"557,34",agent_022,buyer_0095,0,75,purchase_102415,17.06.2026 21:19,luxury,1,refund_req_302415,"446,71",approve,item_not_as_described
"1.632,89",agent_020,buyer_0590,0,79,purchase_102027,04.04.2026 02:35,appliances,,refund_req_302027,"913,04",reject,damaged_item
"247,87",agent_008,buyer_0376,0,72,purchase_100127,11.04.2026 03:35,clothing,1,refund_req_300127,"54,79",approve,changed_mind
"2.395,48",agent_703,buyer_0252,0,23,purchase_104385,07.04.2026 01:29,luxury,,refund_req_304385,"1.556,48",approve,damaged_item
"1.743,52",agent_019,buyer_0559,0,67,purchase_101098,28.05.2026 16:06,electronics,0,refund_req_301098,"1.380,92",reject,missing_accessory
"164,37",agent_802,buyer_8002,0,26,purchase_104586,06.06.2026 19:01,fashion,0,refund_req_304586,"134,83",approve,changed_mind
"241,34",agent_103,buyer_0312,0,2,purchase_103768,07.04.2026 04:10,clothing,1,refund_req_303768,"127,29",approve,wrong_size
"78,23",agent_803,buyer_8003,0,25,purchase_104734,05.05.2026 01:22,beauty,1,refund_req_304734,"74,24",approve,damaged_item
"9,72",agent_103,buyer_0156,0,3,purchase_103714,26.05.2026 07:59,books,1,refund_req_303714,"8,52",approve,wrong_item_received
"999,54",agent_702,buyer_0341,0,32,purchase_104474,05.06.2026 13:31,beauty,1,refund_req_304474,"873,28",approve,
"1.287,57",agent_801,buyer_8001,1,5,purchase_104693,05.05.2026 09:37,fashion,0,refund_req_304693,"775,06",approve,item_not_as_described
"982,75",agent_002,buyer_0066,0,35,purchase_103473,08.04.2026 22:56,electronics,1,refund_req_303473,"982,75",approve,missing_accessory
"1.265,31",agent_023,buyer_0028,0,70,purchase_102312,19.05.2026 08:09,luxury,0,refund_req_302312,"664,55",reject,changed_mind
"1.963,47",agent_802,buyer_8002,0,25,purchase_104754,11.06.2026 09:02,electronics,0,refund_req_304754,"1.760,87",approve,missing_accessory
"1.195,98",agent_023,buyer_0505,0,117,purchase_102042,19.04.2026 15:44,sports,,refund_req_302042,"514,31",approve,damaged_item
"59,80",agent_017,buyer_0194,0,74,purchase_100698,15.06.2026 18:30,clothing,0,refund_req_300698,"28,55",reject,item_not_as_described
"66,58",agent_009,buyer_0443,0,40,purchase_101709,02.04.2026 20:15,books,1,refund_req_301709,"13,74",approve,changed_mind
"2.719,46",agent_902,buyer_9904,1,3,purchase_104939,23.04.2026 10:41,luxury,0,refund_req_304939,"2.584,17",approve,item_not_as_described
"39,27",agent_008,buyer_9001,0,66,purchase_104106,25.05.2026 04:01, books ,1,refund_req_304106,"36,18",approve,damaged_item
"601,06",agent_002,buyer_900,0,31,purchase_1027,07.06.2026 09:17,fashion,0,refund_req_3027,"430,70",approve,changed_mind
"1.392,85",agent_701,buyer_0492,0,31,purchase_104554,08.05.2026 12:48,luxury,,refund_req_304554,"1.263,35", approve ,changed_mind
"149,77",agent_102,buyer_0392,0,1,purchase_103623,27.05.2026 13:35,fashion,1,refund_req_303623,"97,91",approve,wrong_size
"493,02",agent_026,buyer_0097,0,41,purchase_101890,27.04.2026 16:22,luxury,1,refund_req_301890,"267,35",approve,item_not_as_described
"562,01",agent_103,buyer_0088,0,5,purchase_103728,09.04.2026 20:26,appliances,1,refund_req_303728,"557,34",approve,not_working
"1.957,31",agent_802,buyer_8002,0,25,purchase_104709,11.05.2026 07:36, electronics ,0,refund_req_304709,"1.188,18",APPROVE,not_working
"70,54",agent_016,buyer_0095,0,103,purchase_102115,03.05.2026 09:41,books,0,refund_req_302115,"28,10",reject,
"375,30",agent_012,buyer_9002,0,53,purchase_104283,01.06.2026 14:07,Home,1,refund_req_304283,"213,19",approve,missing_part
"1.420,65",agent_016,buyer_0209,0,100,purchase_101035,05.04.2026 12:55,electronics,1,refund_req_301035,"1.123,50",approve,  not_working  
"161,88",agent_015,buyer_0176,0,86,purchase_100828,07.05.2026 12:28,clothing,1,refund_req_300828,"57,25",approve,item_not_as_described
"935,04",agent_701,buyer_0379,0,16,purchase_104410,05.06.2026 03:14,beauty,0,refund_req_304410,"712,66", approve ,allergic_reaction
"1.116,12",agent_027,buyer_0053,0,58,purchase_100812,06.06.2026 13:24,appliances,0,refund_req_300812,"316,72",APPROVE,not_working
"1.863,52",agent_027,buyer_0318,0,32,purchase_103231,15.05.2026 03:37,LUXURY,0,refund_req_303231,"1.162,37",approve,changed_mind
"1.490,75",agent_013,buyer_9003,0,43,purchase_104276,05.04.2026 16:00,electronics,0,refund_req_304276,"757,12",approve,item_not_as_described
"1.440,05",agent_001,buyer_0007,1,80,purchase_100181,26.05.2026 14:07,luxury,,refund_req_300181,"303,67",approve,changed_mind
"33,09",agent_103,buyer_0433,0,3,purchase_103741,18.05.2026 17:00,books,1,refund_req_303741,"27,78",approve,changed_mind
"244,14",agent_017,buyer_0013,0,48,purchase_100225,31.05.2026 10:29,clothing,0,refund_req_300225,"69,77",reject,changed_mind
"285,71",agent_008,buyer_0403,0,53,purchase_101677,04.04.2026 13:24,sports,0,refund_req_301677,"179,72",reject,damaged_item
"1.479,56",agent_702,buyer_0548,0,25,purchase_104471,16.06.2026 17:53,luxury,1,refund_req_304471,"876,27",approve,damaged_item
"257,88",agent_027,buyer_0164,0,71,purchase_100718,07.05.2026 17:38,sports,0,refund_req_300718,"108,13",approve,damaged_item
"336,52",agent_011,buyer_0144,0,48,purchase_102428,20.05.2026 04:33,home,,refund_req_302428,"261,00",approve,missing_part
"177,43",agent_029,buyer_0141,0,44,purchase_101160,05.06.2026 05:20,sports,0,refund_req_301160,"89,29",reject,wrong_size
"1.752,34",agent_021,buyer_0553,0,107,purchase_102791,02.05.2026 07:31,luxury,1,refund_req_302791,"867,60",approve,changed_mind
"28,58",agent_701,buyer_0079,0,23,purchase_104455,26.04.2026 17:10,clothing,0,refund_req_304455,"27,25",approve,item_not_as_described
"212,33",agent_017,buyer_0530,0,38,purchase_101736,13.04.2026 09:29,Clothing,0,refund_req_301736,"116,56",reject,wrong_size
"731,95",agent_019,buyer_0560,0,56,purchase_100873,14.06.2026 00:10,appliances,0,refund_req_300873,"471,04",reject,missing_part
"162,06",agent_026,buyer_0366,0,79,purchase_102410,12.06.2026 21:53,clothing,1,refund_req_302410,"79,58",approve,item_not_as_described
"256,94",agent_101,buyer_0551,1,3,purchase_103754,03.05.2026 01:16,  clothing  ,1,refund_req_303754,"255,35",approve,  changed_mind  
"427,57",agent_004,buyer_0452,0,53,purchase_102108,15.06.2026 20:01,sports,1,refund_req_302108,"193,22",approve,item_not_as_described
"207,78",agent_703,buyer_0295,0,18,purchase_104406,19.04.2026 09:29,  fashion  ,,refund_req_304406,"95,32",approve,changed_mind
"1.122,79",agent_006,buyer_0147,0,23,purchase_103419,08.06.2026 16:43,fashion,0,refund_req_303419,"1.122,79",approve,changed_mind
"71,11",agent_019,buyer_0431,0,63,purchase_101190,16.04.2026 12:46,fashion,0,refund_req_301190,"33,99",reject,changed_mind
"1.562,43",agent_019,buyer_0038,0,34,purchase_103173,08.06.2026 08:18,appliances,0,refund_req_303173,"1.207,85",APPROVE,missing_part
"1.404,94",agent_011,buyer_0117,0,52,purchase_100921,04.04.2026 17:55,luxury,0,refund_req_300921,"397,93",reject,changed_mind
"979,88",agent_028,buyer_0228,0,92,purchase_101874,07.05.2026 02:53,sports,1,refund_req_301874,"741,28",APPROVE,wrong_size
"1.039,19",agent_016,buyer_0420,0,37,purchase_103424,27.05.2026 17:56,Appliances,1,refund_req_303424,"1.039,19",approve,not_working
"25,28",agent_006,buyer_0590,0,60,purchase_102028,21.04.2026 01:44,Sports,0,refund_req_302028,"11,94",reject,wrong_size
"1.417,07",agent_004,buyer_0568,0,43,purchase_101081,02.06.2026 06:30,luxury,0,refund_req_301081,"413,64",  reject  ,changed_mind
"102,74",agent_030,buyer_0142,0,48,purchase_100833,07.06.2026 02:00,home,1,refund_req_300833,"41,87",approve,missing_part
"100,65",agent_002,buyer_0389,0,66,purchase_100956,23.04.2026 18:04,sports,1,refund_req_300956,"29,32",approve,wrong_size
"201,57",agent_003,buyer_0217,0,38,purchase_100786,13.06.2026 03:16,clothing,1,refund_req_300786,"80,82",approve,wrong_size
"191,26",agent_004,buyer_0162,0,76,purchase_100564,29.05.2026 00:19,clothing,1,refund_req_300564,"133,68",  reject  ,item_not_as_described
"2.686,30",agent_102,buyer_0525,1,46,purchase_103286,19.06.2026 19:47,luxury,1,refund_req_303286,"2.686,30",approve,damaged_item
"1.596,67",agent_102,buyer_604,1,25,purchase_1025,05.06.2026 10:30,  electronics  ,0,refund_req_3025,"1.330,79",approve,missing_accessory
"1.085,24",agent_902,buyer_9906,1,6,purchase_104803,03.04.2026 08:49,electronics,0,refund_req_304803,"1.109,85",approve,missing_accessory
"413,97",agent_007,buyer_0418,0,61,purchase_101586,23.05.2026 15:05,home,1,refund_req_301586,"119,32",reject,missing_part
"69,21",agent_015,buyer_0152,0,79,purchase_100552,05.05.2026 17:47,books,1,refund_req_300552,"48,28",reject,wrong_item_received
"406,50",agent_006,buyer_0533,0,59,purchase_102611,14.06.2026 15:05, appliances ,1,refund_req_302611,"289,12",reject,missing_part
"540,11",agent_026,buyer_0170,0,,purchase_102636,15.04.2026 14:22,Appliances,1,refund_req_302636,"379,94",approve,damaged_item
"373,13",agent_029,buyer_0291,0,59,purchase_100617,11.05.2026 03:18,sports,1,refund_req_300617,"193,18",approve,wrong_size
"101,92",agent_005,buyer_0580,0,109,purchase_101325,19.04.2026 22:49,clothing,1,refund_req_301325,"56,77",reject,item_not_as_described
"2.045,75",agent_010,buyer_0590,0,57,purchase_103253,12.05.2026 08:18,electronics,1,refund_req_303253,"2.045,75",approve,item_not_as_described
"427,34",agent_003,buyer_0550,0,58,purchase_100227,16.06.2026 05:39,appliances,0,refund_req_300227,"108,69",approve,not_working
"1.043,68",agent_028,buyer_0555,0,36,purchase_100068,13.04.2026 23:08,luxury,0,refund_req_300068,"636,91",reject,damaged_item
"1.125,29",agent_028,buyer_9005,0,40,purchase_104182,01.06.2026 12:35,electronics,0,refund_req_304182,"1.068,84",approve,not_working
"13,65",agent_030,buyer_0465,0,97,purchase_100344,24.05.2026 13:06,books,1,refund_req_300344,"6,09",approve,changed_mind
"325,76",agent_012,buyer_0050,0,70,purchase_101201,03.05.2026 23:27,appliances,0,refund_req_301201,"259,08",approve,not_working
"1.108,26",agent_801,buyer_8001,0,21,purchase_104660,16.06.2026 18:53,beauty,0,refund_req_304660,"755,23",approve,
"918,09",agent_017,buyer_0422,0,29,purchase_101923,17.06.2026 17:29,beauty,0,refund_req_301923,"597,58",reject,changed_mind
"1.146,03",agent_025,buyer_0422,0,76,purchase_101333,31.05.2026 21:07,appliances,1,refund_req_301333,"485,87",approve,damaged_item
"2.234,06",agent_026,buyer_0291,0,71,purchase_101570,27.05.2026 00:56,luxury,1,refund_req_301570,"448,54",approve,
"1.452,42",agent_014,buyer_0582,1,24,purchase_103961,27.05.2026 02:00,luxury,0,refund_req_303961,"1.045,76",approve,item_not_as_described
"2.821,24",agent_019,buyer_0134,0,26,purchase_103068,09.04.2026 01:07,luxury,0,refund_req_303068,"2.212,53",approve,changed_mind
"1.137,18",agent_018,buyer_0110,0,46,purchase_101257,20.06.2026 08:34,appliances,1,refund_req_301257,"642,25",reject,not_working
"61,79",agent_006,buyer_0331,0,69,purchase_102012,09.04.2026 23:55,books,1,refund_req_302012,"42,06",reject,changed_mind
"199,25",agent_101,buyer_0535,0,3,purchase_103797,27.05.2026 09:24,fashion,1,refund_req_303797,"105,27",approve,wrong_size
"1.288,03",agent_901,buyer_9901,1,4,purchase_104858,13.06.2026 17:32,electronics,0,refund_req_304858,"1.151,95",approve,item_not_as_described
"143,78",agent_029,buyer_0244,0,45,purchase_101781,25.04.2026 16:26,sports,0,refund_req_301781,"79,43",reject,wrong_size
"653,37",agent_008,buyer_9006,1,,purchase_104151,09.06.2026 06:06,luxury,0,refund_req_304151,"389,82",approve,changed_mind
"2.928,10",agent_011,buyer_0507,0,68,purchase_102973,22.05.2026 03:25,luxury,0,refund_req_302973,"2.025,05",reject,item_not_as_described
"599,41",agent_012,buyer_0303,0,84,purchase_100500,14.06.2026 08:49,home,,refund_req_300500,"126,09",approve,  missing_part  
"1.053,97",agent_802,buyer_8002,0,,purchase_104631,08.06.2026 10:02,fashion,1,refund_req_304631,"699,91",approve,item_not_as_described
"128,30",agent_005,buyer_0487,0,65,purchase_100005,10.05.2026 21:37,home,0,refund_req_300005,"69,67",reject,item_not_as_described
"648,10",agent_019,buyer_0341,0,71,purchase_101382,18.06.2026 03:52,electronics,0,refund_req_301382,"471,17",reject,not_working
"287,93",agent_003,buyer_0313,0,60,purchase_102659,23.04.2026 18:47,sports,1,refund_req_302659,"60,59",approve,item_not_as_described
"1.040,19",agent_021,buyer_0508,0,50,purchase_101597,20.05.2026 20:16,luxury,0,refund_req_301597,"279,62",reject,item_not_as_described
"128,06",agent_012,buyer_9005,0,44,purchase_104278,12.05.2026 16:52,beauty,0,refund_req_304278,"127,38",  approve  ,changed_mind
"82,07",agent_010,buyer_0090,0,44,purchase_100737,23.04.2026 03:38,BEAUTY,1,refund_req_300737,"33,10",approve,  changed_mind  
"387,12",agent_016,buyer_0507,0,41,purchase_101448,05.05.2026 23:13,appliances,1,refund_req_301448,"297,50",approve,damaged_item
"1.041,46",agent_030,buyer_0473,0,52,purchase_101793,13.04.2026 01:07,LUXURY,,refund_req_301793,"618,16",approve,changed_mind
"181,65",agent_027,buyer_0459,0,95,purchase_102835,25.05.2026 21:29,electronics,0,refund_req_302835,"127,57",approve,item_not_as_described
"343,34",agent_021,buyer_9005,0,27,purchase_104094,04.04.2026 02:43,home,0,refund_req_304094,"341,36",approve,missing_part
"238,61",agent_013,buyer_0015,0,98,purchase_100739,17.06.2026 09:26,clothing,1,refund_req_300739,"163,41",approve, item_not_as_described 
"45,74",agent_030,buyer_0583,0,71,purchase_100672,22.05.2026 04:55,books,1,refund_req_300672,"26,28",reject,damaged_item
"971,37",agent_025,buyer_0559,1,31,purchase_103831,26.04.2026 10:40,luxury,1,refund_req_303831,"950,75",approve,changed_mind
"1.803,30",agent_005,buyer_402,0,60,purchase_1013,03.06.2026 10:08,luxury,0,refund_req_3013,"1.803,30",Approve,changed_mind
"1.207,06",agent_020,buyer_0216,0,42,purchase_102113,18.04.2026 16:55,appliances,1,refund_req_302113,"253,71",approve,damaged_item
"56,58",agent_016,buyer_0559,0,56,purchase_100950,11.04.2026 22:19,home,1,refund_req_300950,"12,38",reject,
"1.160,65",agent_005,buyer_0304,0,88,purchase_101138,11.06.2026 13:21,beauty,,refund_req_301138,"807,28",approve,allergic_reaction
"1.022,82",agent_008,buyer_0171,0,82,purchase_101281,14.06.2026 19:15,appliances,0,refund_req_301281,"573,54",approve,missing_part
"742,75",agent_005,buyer_0490,0,87,purchase_101593,27.04.2026 09:54,appliances,,refund_req_301593,"541,46",approve,not_working
"292,57",agent_801,buyer_8001,0,10,purchase_104720,01.04.2026 11:02,sports,0,refund_req_304720,"284,03", approve ,damaged_item
"572,87",agent_017,buyer_0323,0,56,purchase_102832,08.05.2026 14:14,electronics,0,refund_req_302832,"248,37",reject,damaged_item
"1.664,38",agent_901,buyer_9902,1,1,purchase_104894,27.05.2026 07:43,appliances,0,refund_req_304894,"1.563,98",approve,missing_part
"1.485,79",agent_002,buyer_0342,0,80,purchase_100436,10.05.2026 01:17,appliances,0,refund_req_300436,"502,23",reject,damaged_item
"391,59",agent_027,buyer_0152,0,90,purchase_101290,08.05.2026 01:06,fashion,0,refund_req_301290,"199,67",approve,wrong_size
"1.653,17",agent_002,buyer_0355,0,8,purchase_103117,24.05.2026 13:07,appliances,0,refund_req_303117,"1.201,83",approve,not_working
"402,00",agent_017,buyer_0376,0,97,purchase_100128,16.04.2026 16:56,home,0,refund_req_300128,"145,62",approve,missing_part
"156,03",agent_014,buyer_9005,0,12,purchase_104198,21.05.2026 21:39,clothing,0,refund_req_304198,"126,91",approve,
"1.163,55",agent_029,buyer_0005,0,56,purchase_101858,27.05.2026 03:31,home,0,refund_req_301858,"418,77",reject,
"49,01",agent_027,buyer_0591,0,55,purchase_102512,08.06.2026 08:17,books,0,refund_req_302512,"16,48",reject,changed_mind
"1.780,46",agent_010,buyer_0539,0,31,purchase_103099,13.05.2026 16:43,appliances,0,refund_req_303099,"1.615,95",approve,damaged_item
"589,50",agent_009,buyer_0098,0,44,purchase_100684,12.05.2026 06:44,  home  ,0,refund_req_300684,"384,71",approve,item_not_as_described
"1.052,61",agent_703,buyer_0555,1,16,purchase_104505,17.04.2026 11:23,Clothing,1,refund_req_304505,"823,49",approve,changed_mind
"1.404,05",agent_019,buyer_0009,1,33,purchase_103978,31.05.2026 10:30,appliances,1,refund_req_303978,"1.352,53",approve,missing_part
"396,20",agent_010,buyer_0542,0,76,purchase_101665,07.06.2026 18:12,home,1,refund_req_301665,"312,90",approve,damaged_item
"80,76",agent_030,buyer_0153,0,46,purchase_101522,02.05.2026 20:43,sports,0,refund_req_301522,"53,79",approve,wrong_size
"418,34",agent_014,buyer_0380,0,56,purchase_101068,09.06.2026 03:45,sports,1,refund_req_301068,"147,49",approve,item_not_as_described
"1.785,71",agent_024,buyer_0046,0,90,purchase_101713,10.06.2026 22:30,luxury,0,refund_req_301713,"1.208,01",Approve,item_not_as_described
"205,71",agent_002,buyer_0453,0,51,purchase_102822,23.04.2026 08:00,clothing,,refund_req_302822,"55,63",approve,changed_mind
"1.091,03",agent_009,buyer_0308,1,20,purchase_103934,07.05.2026 00:11,  appliances  ,0,refund_req_303934,"1.034,25",approve,damaged_item
"1.107,41",agent_003,buyer_0466,0,,purchase_100669,08.06.2026 22:16,FASHION,0,refund_req_300669,"345,16",reject,wrong_size
"81,12",agent_002,buyer_203,0,80,purchase_1004,01.06.2026 10:08,beauty,1,refund_req_3004,"73,92",approve,  allergic_reaction  
"2.026,03",agent_024,buyer_9008,0,55,purchase_104217,11.04.2026 20:44,electronics,0,refund_req_304217,"1.938,14",approve,
"2.904,41",agent_006,buyer_0567,0,52,purchase_102971,24.04.2026 17:47,luxury,1,refund_req_302971,"1.815,97",approve,  changed_mind  
"1.207,92",agent_008,buyer_9001,0,49,purchase_104274,06.06.2026 08:48,appliances,0,refund_req_304274,"714,19",approve,damaged_item
"66,33",agent_030,buyer_0272,0,51,purchase_100774,11.05.2026 13:02,books,0,refund_req_300774,"16,56",approve,
"754,24",agent_017,buyer_0157,0,101,purchase_100616,24.05.2026 09:39,electronics,1,refund_req_300616,"334,43",approve,damaged_item
"66,79",agent_010,buyer_0063,0,39,purchase_101137,09.05.2026 16:54,Clothing,0,refund_req_301137,"48,04",approve,changed_mind
"2.371,67",agent_006,buyer_9001,0,31,purchase_104306,01.05.2026 10:39,Luxury,0,refund_req_304306,"1.759,64",approve,changed_mind
"191,98",agent_021,buyer_0158,0,114,purchase_100062,19.04.2026 21:05,clothing,0,refund_req_300062,"101,90",approve,
"448,29",agent_802,buyer_8002,0,12,purchase_104583,20.04.2026 17:32,electronics,1,refund_req_304583,"314,93",approve,item_not_as_described
"901,26",agent_010,buyer_0564,0,,purchase_101754,03.06.2026 01:15,beauty,0,refund_req_301754,"190,26",approve,damaged_item
"2.043,56",agent_030,buyer_0031,1,39,purchase_103229,09.05.2026 23:32,electronics,0,refund_req_303229,"1.433,76",approve,not_working
"1.013,28",agent_901,buyer_9901,1,7,purchase_104846,05.04.2026 00:14,luxury,0,refund_req_304846,"1.022,19",approve,damaged_item
"1.599,62",agent_102,buyer_0034,0,11,purchase_103150,10.05.2026 08:28,appliances,0,refund_req_303150,"1.460,62",approve,missing_part
"419,97",agent_030,buyer_9008,0,11,purchase_104249,13.06.2026 16:08,fashion,0,refund_req_304249,"304,78",approve,wrong_size
"1.628,63",agent_006,buyer_0124,1,21,purchase_103997,15.05.2026 01:36,appliances,0,refund_req_303997,"1.379,20",approve,damaged_item
"1.335,79",agent_019,buyer_0360,1,26,purchase_103918,28.05.2026 02:40,luxury,0,refund_req_303918,"882,05",approve,item_not_as_described
"100,96",agent_025,buyer_0025,1,31,purchase_100975,16.05.2026 09:14,sports,1,refund_req_300975,"43,61",Approve,item_not_as_described
"1.373,60",agent_777,buyer_703,0,35,purchase_1034,11.06.2026 10:02,electronics,1,refund_req_3034,"1.141,21",approve,item_not_as_described
"117,90",agent_005,buyer_0533,0,53,purchase_101591,28.04.2026 14:58,beauty,,refund_req_301591,"41,50",approve,damaged_item
"134,00",agent_029,buyer_0348,0,60,purchase_101988,20.04.2026 18:09,fashion,0,refund_req_301988,"44,44",reject,changed_mind
"994,70",agent_022,buyer_0381,0,40,purchase_103370,12.05.2026 03:58,fashion,0,refund_req_303370,"994,70",approve,wrong_size
"197,35",agent_020,buyer_0179,0,63,purchase_100466,07.06.2026 09:07,clothing,1,refund_req_300466,"124,02",approve,item_not_as_described
"1.684,28",agent_028,buyer_0438,0,60,purchase_100890,08.06.2026 23:49,appliances,0,refund_req_300890,"1.160,57",reject,missing_part
"610,66",agent_028,buyer_0322,0,40,purchase_100310,24.04.2026 01:11,fashion,1,refund_req_300310,"373,22",approve,changed_mind
"26,82",agent_018,buyer_0537,0,66,purchase_100406,25.05.2026 20:28, beauty ,0,refund_req_300406,"18,91",approve,allergic_reaction
"86,68",agent_102,buyer_0425,1,4,purchase_103710,22.05.2026 23:40,clothing,0,refund_req_303710,"75,49",approve,changed_mind
"76,40",agent_017,buyer_0168,0,34,purchase_101142,03.06.2026 21:40,  clothing  ,1,refund_req_301142,"52,76",reject,changed_mind
"94,63",agent_030,buyer_0336,0,78,purchase_101658,26.05.2026 07:24,beauty,1,refund_req_301658,"68,49",approve,changed_mind
"1.081,13",agent_005,buyer_0501,0,65,purchase_103427,22.05.2026 21:57,appliances,0,refund_req_303427,"1.081,13",approve,damaged_item
"1.118,71",agent_015,buyer_0234,0,19,purchase_103445,16.06.2026 15:04,electronics,0,refund_req_303445,"1.118,71",approve,not_working
"1.003,41",agent_012,buyer_0188,0,35,purchase_102999,01.06.2026 14:23,electronics,0,refund_req_302999,"772,39",approve,damaged_item
"1.447,33",agent_012,buyer_0417,0,12,purchase_103401,06.04.2026 09:11,luxury,0,refund_req_303401,"1.447,33",approve,changed_mind
"11,75",agent_006,buyer_0239,0,62,purchase_101569,05.05.2026 17:39,books,1,refund_req_301569,"3,27",approve,damaged_item
"1.035,36",agent_703,buyer_0009,0,8,purchase_104493,15.05.2026 19:59,  beauty  ,0,refund_req_304493,"564,01",approve,allergic_reaction
"252,93",agent_026,buyer_0103,0,,purchase_102018,21.04.2026 12:46,sports,1,refund_req_302018,"51,85",approve,item_not_as_described
"994,32",agent_028,buyer_0281,0,29,purchase_101016,21.05.2026 07:28,Luxury,0,refund_req_301016,"409,23",approve,changed_mind
"1.502,10",agent_902,buyer_9905,1,1,purchase_104859,25.04.2026 19:49,luxury,0,refund_req_304859,"1.436,48",approve,item_not_as_described
"80,64",agent_001,buyer_0183,0,75,purchase_101485,06.04.2026 20:22,books,1,refund_req_301485,"21,85",reject,wrong_item_received
"92,10",agent_016,buyer_0592,0,40,purchase_102334,31.05.2026 08:09,clothing,0,refund_req_302334,"43,99",approve,item_not_as_described
"2.420,74",agent_015,buyer_0101,0,87,purchase_101006,26.04.2026 11:24,luxury,1,refund_req_301006,"985,87",approve,
"167,88",agent_019,buyer_0325,0,85,purchase_101682,18.06.2026 05:23,beauty,1,refund_req_301682,"96,36",approve,damaged_item
"42,36",agent_023,buyer_9008,0,34,purchase_104145,10.04.2026 05:53,clothing,1,refund_req_304145,"30,38",approve,wrong_size
"2.834,53",agent_015,buyer_0398,0,89,purchase_102471,06.06.2026 02:14,luxury,0,refund_req_302471,"1.740,21",approve,damaged_item
"2.092,31",agent_020,buyer_0571,1,,purchase_102981,15.06.2026 19:12,luxury,0,refund_req_302981,"1.912,83",approve,changed_mind
"209,22",agent_101,buyer_0322,0,4,purchase_103660,01.05.2026 03:00,sports,1,refund_req_303660,"107,07",approve,damaged_item
"374,40",agent_009,buyer_0456,0,83,purchase_100723,07.05.2026 07:40,appliances,0,refund_req_300723,"94,99",approve,missing_part
"1.782,32",agent_020,buyer_0431,0,24,purchase_103108,24.05.2026 05:49,appliances,0,refund_req_303108,"1.422,27",approve,  missing_part  
"157,21",agent_004,buyer_0171,0,47,purchase_101649,10.04.2026 00:07,beauty,1,refund_req_301649,"92,34",  approve  ,allergic_reaction
"242,96",agent_013,buyer_0264,0,100,purchase_101100,30.04.2026 21:43,home,1,refund_req_301100,"51,90",reject,missing_part
"1.902,18",agent_024,buyer_0122,0,62,purchase_100528,15.04.2026 10:39,electronics,1,refund_req_300528,"556,45",approve,damaged_item
"67,88",agent_027,buyer_0482,0,57,purchase_101922,05.05.2026 13:15,books,1,refund_req_301922,"33,55",reject,wrong_item_received
